progress.shortcut	Creating shortcuts…
progress.uninstall_delete	Uninstalling…
progress.uninstall_done	Uninstall complete
progress.uninstall_scan	Preparing to uninstall…
prompt.occupied_files.message	Some files are in use and the installation may not succeed. Continue anyway? {items}
prompt.occupied_files.title	Notice
prompt.process_running.message	{items} is running. Close it and continue the installation?
prompt.process_running.title	Notice
prompt.version_mismatch.message	This installer is not the latest version. Install the latest version instead?
prompt.version_mismatch.title	Notice
ready.advanced	Advanced install
ready.advanced_hint	Installs WebView2 and opens the full interface
ready.agree	I accept the
ready.change_path	Change install location
ready.continue	Continue with current options
ready.create_lnk	Create a desktop shortcut
ready.delete_user_data	Also delete user data
ready.dir_not_empty	The selected folder is not empty. Create a new subfolder for the installation? Choosing No may affect existing data.
ready.eula	License Agreement
ready.from	From
ready.install	Install
ready.install_to	Install to
ready.installing	Installing
ready.no_cdk	No CDK
ready.select_source	Select a source
ready.source_multi	{title} supports multiple online install sources.
ready.uninstall	Uninstall
ready.uninstall_from	Uninstall from
ready.uninstalling	Uninstalling
ready.update	Update
ready.update_to	Update to
ready.updating	Updating
running.cancel_message	Downloaded data will be discarded. Files already on disk are left untouched.
running.cancel_no	No, continue
running.cancel_title	Are you sure you want to cancel?
running.cancel_yes	Yes, cancel
shortcut.uninstall	Uninstall {subject}
step.default.0	Fetching the latest version
step.default.1	Verifying update contents
step.default.2	Downloading and extracting files
step.default.3	Preparing the runtime environment
step.mirrorc.0	Fetching the latest version from Mirror酱
step.mirrorc.1	Downloading the package
step.mirrorc.2	Extracting files
step.mirrorc.3	Preparing the runtime environment
webview2.progress_downloading	Downloading the installer...
webview2.progress_heading	WebView2 Runtime is missing on this system. Installing...
webview2.progress_installing	Installing WebView2 Runtime...
webview2.progress_title	Install WebView2 Runtime
