DISK_FULL	磁盘空间不足，无法完成安装/更新
prompt.occupied_files.message	检测到部分文件被占用，继续安装可能无法成功，是否继续？ {items}
prompt.occupied_files.title	提示
prompt.process_running.message	检测到{items}正在运行，是否结束进程并继续安装？
prompt.process_running.title	提示
prompt.version_mismatch.message	当前安装包不是最新版本，是否直接安装最新版本？
prompt.version_mismatch.title	提示
ready.advanced	高级安装
ready.advanced_hint	将安装 WebView2 并打开完整界面
ready.agree	我已阅读并同意
ready.change_path	更改安装位置
ready.continue	使用当前选项继续
ready.create_lnk	创建桌面快捷方式
ready.delete_user_data	同时删除用户数据
ready.dir_not_empty	您选择的目录不为空，是否创建新文件夹再安装？选【否】将可能影响原有数据。
ready.eula	用户协议
ready.from	从
ready.install	安装
ready.install_to	安装到
ready.installing	正在安装
ready.no_cdk	无CDK
ready.select_source	选择安装源
ready.source_multi	{title}支持多种在线安装方式。
ready.uninstall	卸载
ready.uninstall_from	卸载自
ready.uninstalling	正在卸载
ready.update	更新
ready.update_to	更新到
ready.updating	正在更新
running.cancel_message	已下载的内容将被丢弃，当前已安装的文件不会受影响。
running.cancel_no	否，继续
running.cancel_title	确定要取消吗？
running.cancel_yes	是，取消
shortcut.uninstall	卸载{subject}
step.default.0	获取最新版本
step.default.1	校验更新内容
step.default.2	下载和解压文件
step.default.3	准备运行环境
step.mirrorc.0	从 Mirror酱 获取最新版本
step.mirrorc.1	下载数据包
step.mirrorc.2	解压文件
step.mirrorc.3	准备运行环境
webview2.progress_downloading	正在下载安装程序...
webview2.progress_heading	当前系统缺少 WebView2 运行时，正在安装...
webview2.progress_installing	正在安装 WebView2 运行时...
webview2.progress_title	安装 WebView2 运行时
